scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
by_date,2023-06-16,max_hdr_size,severe_obs,0.0,30.0,27.36409339904785,percentile,26,0,2,10,0.7222222222222222,0.0,0.7222222222222222,0.21487603305785125,HSS
by_date,2023-06-16,max_hdr_size,sig_severe_obs,0.0,57.0,30.946394977569582,percentile,4,12,20,2,0.6666666666666666,0.75,0.2222222222222222,0.17391304347826086,HSS
by_date,2023-06-16,max_hsda,severe_obs,0.0,,2.0,hsda_class,18,0,2,18,0.5,0.0,0.5,0.09523809523809523,HSS
by_date,2023-06-16,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,2,9,23,4,0.3333333333333333,0.8181818181818182,0.13333333333333333,0.038910505836575876,HSS
by_date,2023-06-16,max_mesh_75_mh19,severe_obs,0.0,19.0,29.578410611887747,percentile,30,0,2,6,0.8333333333333334,0.0,0.8333333333333334,0.3448275862068966,HSS
by_date,2023-06-16,max_mesh_75_mh19,sig_severe_obs,0.0,65.0,42.84552073961706,percentile,4,9,23,2,0.6666666666666666,0.6923076923076923,0.26666666666666666,0.26148409893992935,HSS
by_date,2023-09-24,max_reflectivity,severe_obs,0.0,16.0,56.55392303466797,percentile,31,2,4,3,0.9117647058823529,0.06060606060606061,0.8611111111111112,0.5412844036697247,HSS
by_date,2023-09-24,max_reflectivity,sig_severe_obs,0.0,59.0,63.30823020935058,percentile,11,5,21,3,0.7857142857142857,0.3125,0.5789473684210527,0.574468085106383,HSS
by_date,2023-09-24,max_hdr_size,severe_obs,0.0,18.0,23.250557060241704,percentile,31,1,5,3,0.9117647058823529,0.03125,0.8857142857142857,0.6551724137931034,HSS
by_date,2023-09-24,max_hdr_size,sig_severe_obs,0.0,52.0,30.223286590576173,percentile,12,7,19,2,0.8571428571428571,0.3684210526315789,0.5714285714285714,0.5431472081218274,HSS
